,ef__upstroke_downstroke_ratio_long_square,ef__adaptation,ef__threshold_i_long_square,ef__tau,ef__avg_isi,ef__avg_firing_rate,ef__ri,ef__peak_t_ramp,ef__vrest,fast_trough_v_short_square,peak_v_short_square,height,ExIn,line_name
414,1.92722942,0.202804702,90.0,14.68927486,123.11,8.122816993,190.1787141,4.0507875,-70.54980873,-61.0468769073,32.6406269073,93.6875038146,I,Htr3a-Cre_NO152
415,1.915683689,0.010660192,70.0,19.03595329,50.91222222,19.64164903,223.437574,2.84821,-65.77166494,-62.0520858765,16.0000006358,78.0520865123,I,Sst-IRES-Cre
416,1.913293327,0.023051752,70.0,23.24448837,49.98842105,20.00463265,232.0313156,3.59351,-70.61535645,-60.6125030518,28.3562511444,88.9687541962,I,Sst-IRES-Cre
417,1.892868623,0.221940623,170.0,19.52773646,55.24,18.10282404,132.6562464,6.196833333,-73.60150909,-63.4531288147,32.84375,96.2968788147,I,Sst-IRES-Cre
418,1.876785595,0.010706707,20.0,54.69367154,30.236875,33.07220075,468.4151662,0.728968333,-67.41945699,-60.75,34.625,95.375,I,Sst-IRES-Cre
419,1.869629956,0.094857789,20.0,15.00804203,15.60666667,64.07518155,271.875,0.630865,-55.23377473,-61.9687512716,31.1302089691,93.0989602407,I,Htr3a-Cre_NO152
421,1.854243144,0.109690434,20.0,25.50111445,75.06227273,13.32227181,454.5311779,0.84312,-64.80349051,-62.632815361,22.9531259537,85.5859413147,I,Htr3a-Cre_NO152
423,1.842653434,0.031409164,60.00000381,18.93369872,49.98166667,20.00733602,210.7812904,2.832433333,-68.21123103,-60.1125038147,32.4562507629,92.5687545776,I,Sst-IRES-Cre
424,1.842548291,0.154108538,50.0,33.12586747,19.57166667,51.09426893,251.5625025,2.330336667,-65.2986696,-58.9250022888,17.6187515259,76.5437538147,I,Sst-IRES-Cre
425,1.816516538,0.012016623,10.0,47.27047084,25.87513514,38.64714116,429.4642573,0.574805,-61.41803741,-58.6375038147,14.7687509537,73.4062547684,I,Htr3a-Cre_NO152
426,1.805307326,0.028792683,50.0,45.83244757,45.13928571,22.1536514,422.031299,1.932268333,-66.75810856,-55.5625030518,19.6562511444,75.2187541962,I,Sst-IRES-Cre
427,1.804733222,0.067294892,150.0,12.58182675,32.16,31.09452736,143.9062869,7.499023333,-73.18584723,-66.2500015259,41.1687515259,107.418753052,I,Sst-IRES-Cre
428,1.802031887,0.021750802,90.0,13.91701198,48.41894737,20.65307187,194.5312138,3.635985,-75.59932826,-66.1187515259,30.1937503815,96.3125019074,I,Sst-IRES-Cre
429,1.80126815,0.021637165,90.0,26.20631091,65.47357143,15.27333821,218.2813665,3.428966667,-67.52550013,-60.0437538147,20.2937511444,80.3375049591,I,Sst-IRES-Cre
432,1.794451812,0.051145927,29.99999809,25.40371846,41.76391304,23.94411651,367.6562463,1.390513333,-72.70973382,-61.1687515259,33.1937507629,94.3625022888,I,Sst-IRES-Cre
434,1.781039193,0.053127976,140.0,7.875618699,8.77375,113.9763499,166.7186753,17.982005,-72.03617925,-61.2062530518,29.0187519073,90.2250049591,I,Htr3a-Cre_NO152
